,coinname, cointicker, price,sentiment,popularity
0,Bitcoin, BTC,40907.34,0.11760256410256413,1.0352928832179586
1,Ethereum, ETC,2808.18,0.16101123595505618,0.28311367255799985
2,Tether, USDT,1.0,0.08911111111111114,0.005202986271950836
3,BNB, BNB,388.2,0.15063736263736263,0.5482116413973014
4,USD Coin, USDC,0.9998,0.13915789473684198,0.0025439461879096332
5,XRP, XRP,0.7924,0.1148333333333333,0.1935216162757655
6,Terra, LUNA,88.22,0.04933870967741936,0.09914383944258892
7,Solana, SOL,89.85,0.23358241758241757,0.6248859528940045
8,Cardano, ADA,0.8469,0.12640425531914898,0.0862971390114781
9,Avalanche, ACAX,80.88,0.19383908045977014,0.07485281245734736
